0 0 0
109 1 0
85 1 0
112 1 0
119 1 0
108 1 0
103 2 0
98 1 0
114 1 0
118 1 0
106 2 0
90 2 0
115 1 0
99 2 0
83 3 0
121 3 0
116 2 0
84 5 0
91 8 0
96 4 0
97 4 0
95 2 0
87 4 0
120 2 0
89 4 0
104 6 0
110 9 10
92 6 0
105 5 0
94 2 0
107 2 0
122 10 0
101 1 0
98 1 1
103 1 1
110 1 1
5 1 0
193 1 1
2 1 1
24 1 1
14 1 1
137 1 1
82 1 1
80 1 1
22 2 0
33 7 0
25 8 0
23 4 0
27 4 0
17 8 0
36 7 0
3 7 0
19 6 0
26 2 0
38 2 0
20 3 0
32 5 0
40 2 0
7 5 0
41 2 0
13 4 0
15 12 0
4 4 0
11 7 0
28 5 0
37 7 0
6 3 0
34 3 0
21 3 0
10 6 0
12 2 0
14 1 0
39 1 0
24 1 0
30 1 0
