140 4 0
146 4 0
114 2 0
139 2 0
119 2 0
115 2 0
129 4 0
113 2 0
134 2 0
136 3 0
127 1 0
125 1 0
147 2 0
141 1 0
137 1 0
118 1 0
123 1 0
145 1 0
116 1 0
111 1 0
130 3 0
133 2 0
91 1 0
106 1 0
84 1 0
88 2 0
95 1 0
89 1 0
99 1 0
82 1 0
94 1 0
97 1 0
75 1 0
103 1 0
77 5 0
79 2 0
104 6 0
96 4 0
100 3 0
102 4 0
109 2 0
105 2 0
80 4 0
78 4 0
35 2 0
19 2 0
7 4 0
23 3 0
8 2 0
6 3 0
34 4 0
22 2 0
10 2 0
30 2 0
29 6 0
36 3 0
16 2 0
15 1 0
24 1 0
26 1 0
11 1 0
37 1 0
1 1 0
