41 4 0
59 2 0
69 2 0
51 2 0
67 2 0
45 3 0
38 2 0
64 2 0
52 2 0
55 4 0
50 4 0
49 2 0
57 1 0
70 2 0
73 1 0
74 1 0
60 1 0
39 1 0
46 1 0
72 1 0
43 2 0
62 1 0
42 1 0
68 1 0
44 1 0
56 1 0
181 4 0
178 3 0
177 4 0
164 2 0
165 2 0
159 2 0
170 2 0
179 2 0
168 2 0
157 4 0
167 3 0
155 3 0
183 2 0
171 1 0
161 1 0
156 1 0
182 1 0
148 1 0
175 1 0
176 1 0
158 1 0
169 1 0
151 1 0
184 1 0
165 1 0
208 1 0
202 2 0
195 1 0
190 2 0
198 1 0
204 1 0
191 1 0
185 1 0
203 1 0
189 1 0
221 3 0
212 3 0
218 3 0
217 3 0
215 2 0
213 1 0
219 1 0
32 1 1
8 1 1
28 1 1
56 1 1
117 1 1
172 1 0
160 1 0
150 2 0
166 1 0
214 1 0
153 1 0
153 1 1
160 1 1
